                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.55291,                0.50501,                 1.0399,                0.69716,                0.77586,                0.79122,                0.59621,                0.96432,                 1.0968,                 1.3143,              0.0002576,              0.0002576,              0.0002576
                     90,                0.57921,                0.50238,                 1.0518,                0.74287,                0.69736,                0.77846,                0.58941,                0.97495,                 1.1481,                 1.3388,              0.0002378,              0.0002378,              0.0002378
                     91,                0.44011,                0.41341,                0.96327,                0.67586,                0.75495,                0.76933,                0.56511,                 1.0125,                 1.2296,                 1.3642,               0.000218,               0.000218,               0.000218
                     92,                0.43647,                 0.4109,                0.96098,                0.76108,                0.68966,                0.74874,                0.52756,                 1.0228,                 1.2432,                 1.3772,              0.0001982,              0.0001982,              0.0001982
                     93,                0.41591,                0.37792,                0.92712,                0.72132,                0.71552,                 0.7477,                0.54192,                0.98467,                 1.1585,                 1.3652,              0.0001784,              0.0001784,              0.0001784
                     94,                0.40472,                0.36685,                0.92018,                0.73548,                0.72414,                0.75579,                0.55885,                0.98455,                 1.1235,                 1.3839,              0.0001586,              0.0001586,              0.0001586
                     95,                0.39841,                0.36053,                 0.9419,                0.76048,                 0.7069,                0.76011,                0.57408,                0.99336,                 1.1578,                 1.3936,              0.0001388,              0.0001388,              0.0001388
                     96,                0.39248,                0.36039,                 0.9348,                0.77917,                0.69828,                0.77296,                0.59362,                0.98547,                 1.1036,                 1.3737,               0.000119,               0.000119,               0.000119
                     97,                  0.384,                0.34036,                0.91751,                0.79876,                0.68435,                0.78296,                0.60085,                0.97619,                 1.0381,                 1.3666,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                  0.391,                0.33539,                0.92758,                0.75615,                0.72414,                 0.7913,                0.60065,                0.96735,                  1.005,                 1.3489,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.38977,                0.33142,                0.92613,                 0.7753,                 0.7069,                0.79108,                0.60286,                  0.953,                  1.006,                 1.3374,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.38481,                0.33922,                0.91266,                0.74019,                0.74138,                0.79051,                0.60973,                0.93685,                 1.0443,                 1.3213,               3.98e-05,               3.98e-05,               3.98e-05
